Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,117.489998,119.400002,115.559998,117.000000,116.337906,26743400
2020-01-16,117.139999,117.320000,115.830002,116.320000,115.661751,9361600
2020-01-17,116.489998,117.790001,116.169998,116.919998,116.258354,7303800
2020-01-21,116.660004,116.660004,113.820000,114.040001,113.394661,8188000
2020-01-22,114.139999,115.080002,113.769997,113.900002,113.255447,5070600
2020-01-23,113.529999,115.570000,113.099998,115.529999,114.876221,4641500
2020-01-24,116.000000,116.000000,113.639999,114.320000,113.673073,4338900
2020-01-27,112.949997,116.209999,112.570000,115.779999,115.124809,6779200
2020-01-28,116.150002,116.459999,115.430000,115.440002,114.786736,3865100
2020-01-29,115.779999,116.080002,114.250000,114.269997,113.623352,5250600
2020-01-30,113.769997,114.709999,112.889999,114.669998,114.021088,4466400
2020-01-31,113.410004,113.790001,110.370003,110.739998,110.113327,6961900
2020-02-03,111.139999,113.410004,111.000000,112.510002,111.873314,5187100
2020-02-04,113.639999,114.800003,113.199997,113.250000,112.609123,3626000
2020-02-05,114.010002,115.900002,113.849998,115.529999,114.876221,3636700
2020-02-06,115.989998,116.379997,114.760002,115.139999,114.488434,4024800
2020-02-07,115.019997,115.650002,114.459999,115.610001,114.955772,2970800
2020-02-10,115.599998,117.239998,115.599998,116.980003,116.318024,3862000
2020-02-11,117.070000,117.139999,115.120003,116.690002,116.029663,3065100
2020-02-12,116.660004,118.750000,116.470001,118.110001,117.441628,3764800
2020-02-13,117.839996,118.500000,117.419998,118.279999,117.610664,2654900
2020-02-14,118.300003,118.459999,116.300003,116.629997,115.969994,3289100
2020-02-18,116.949997,117.870003,116.349998,117.830002,117.830002,3122500
2020-02-19,117.690002,118.129997,117.050003,117.389999,117.389999,2866700
2020-02-20,116.970001,118.290001,116.570000,118.260002,118.260002,2659300
2020-02-21,117.830002,118.879997,116.800003,117.010002,117.010002,3856500
2020-02-24,114.480003,115.989998,113.120003,113.779999,113.779999,5304900
2020-02-25,114.190002,115.150002,111.629997,111.720001,111.720001,5095900
2020-02-26,112.180000,112.709999,110.290001,110.660004,110.660004,4318300
2020-02-27,108.379997,109.379997,105.540001,105.620003,105.620003,6713400
2020-02-28,102.209999,104.199997,100.739998,103.000000,103.000000,9223500
2020-03-02,103.379997,109.440002,102.949997,109.059998,109.059998,9691100
2020-03-03,112.000000,112.199997,103.959999,105.839996,105.839996,10927400
2020-03-04,107.000000,108.070000,104.669998,107.820000,107.820000,6834800
2020-03-05,105.639999,108.440002,105.250000,105.970001,105.970001,5294900
2020-03-06,104.160004,106.430000,102.750000,105.949997,105.949997,5370800
2020-03-09,99.760002,107.680000,99.760002,104.029999,104.029999,7346600
2020-03-10,106.239998,109.589996,104.800003,108.330002,108.330002,7461000
2020-03-11,106.029999,107.980003,103.419998,105.580002,105.580002,6102500
2020-03-12,99.239998,101.529999,92.410004,92.620003,92.620003,10208800
2020-03-13,96.650002,105.139999,92.529999,101.019997,101.019997,9267200
2020-03-16,92.589996,99.940002,91.160004,93.790001,93.790001,6963700
2020-03-17,95.120003,106.489998,95.059998,103.629997,103.629997,10586400
2020-03-18,98.940002,108.349998,96.849998,102.820000,102.820000,8845700
2020-03-19,102.720001,107.120003,99.809998,100.500000,100.500000,7414200
2020-03-20,99.300003,102.480003,96.379997,97.400002,97.400002,8057200
2020-03-23,96.550003,99.199997,93.809998,96.690002,96.690002,7104300
2020-03-24,100.139999,101.650002,96.000000,100.559998,100.559998,6498600
2020-03-25,99.120003,99.330002,90.519997,91.040001,91.040001,12563200
2020-03-26,91.389999,96.470001,91.209999,96.070000,96.070000,7014000
2020-03-27,94.489998,97.830002,92.930000,94.739998,94.739998,4902800
2020-03-30,96.180000,97.769997,95.500000,96.010002,96.010002,4485600
2020-03-31,95.279999,96.779999,92.160004,92.970001,92.970001,6388400
2020-04-01,91.639999,96.139999,91.290001,95.269997,95.269997,8581000
2020-04-02,94.269997,95.669998,92.120003,94.360001,94.360001,5929200
2020-04-03,93.529999,94.129997,90.169998,92.570000,92.570000,6815300
2020-04-06,93.220001,97.820000,92.129997,97.510002,97.510002,7107800
2020-04-07,98.750000,101.660004,97.029999,98.260002,98.260002,6599300
2020-04-08,100.349998,105.690002,100.000000,104.629997,104.629997,7542900
2020-04-09,102.000000,104.830002,101.500000,104.199997,104.199997,7070600
2020-04-13,104.199997,105.370003,102.910004,104.680000,104.680000,3235500
2020-04-14,108.489998,109.910004,105.879997,108.379997,108.379997,5032300
2020-04-15,108.760002,109.000000,105.250000,106.239998,106.239998,4225600
2020-04-16,107.000000,109.889999,106.650002,109.300003,109.300003,5950300
2020-04-17,110.900002,114.070000,108.430000,113.419998,113.419998,7617500
2020-04-20,112.500000,112.500000,108.720001,108.980003,108.980003,5329600
2020-04-21,108.260002,108.260002,105.910004,106.900002,106.900002,4519700
2020-04-22,108.190002,108.529999,106.419998,106.839996,106.839996,2956000
2020-04-23,100.699997,105.500000,100.500000,103.860001,103.860001,16508000
2020-04-24,104.500000,108.449997,103.860001,107.820000,107.820000,6092600
2020-04-27,108.680000,111.199997,108.510002,109.879997,109.879997,4340700
2020-04-28,111.510002,113.879997,110.110001,112.000000,112.000000,4904700
2020-04-29,113.500000,114.040001,110.110001,112.099998,112.099998,4929800
2020-04-30,111.080002,111.199997,108.889999,109.739998,109.739998,4769600
