Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,181.419998,181.860001,179.179993,179.779999,178.166580,2482200
2020-01-16,180.679993,181.199997,179.690002,181.009995,179.385544,2149900
2020-01-17,181.000000,182.149994,180.699997,181.350006,179.722504,3690100
2020-01-21,181.850006,181.910004,178.630005,179.389999,177.780090,3367700
2020-01-22,179.509995,180.570007,177.880005,178.029999,176.432297,2420200
2020-01-23,177.070007,178.440002,176.389999,177.740005,176.144897,2358400
2020-01-24,178.490005,179.809998,177.529999,178.149994,176.551208,2643100
2020-01-27,179.860001,180.589996,175.539993,175.630005,174.053833,4361400
2020-01-28,171.899994,172.339996,165.050003,165.580002,164.094025,8920700
2020-01-29,166.350006,166.470001,161.529999,162.000000,160.546158,5343900
2020-01-30,161.000000,162.639999,158.759995,162.509995,161.051575,4357100
2020-01-31,162.000000,162.649994,158.229996,158.660004,157.236130,5740300
2020-02-03,160.029999,160.309998,156.380005,156.589996,155.184692,3927100
2020-02-04,159.770004,159.960007,157.000000,157.240005,155.828873,4363900
2020-02-05,159.119995,162.330002,158.699997,162.330002,160.873184,3118200
2020-02-06,164.490005,165.000000,162.470001,162.889999,161.428162,3413800
2020-02-07,161.410004,161.919998,159.630005,160.080002,158.643387,2736200
2020-02-10,160.210007,161.259995,158.869995,160.149994,158.712753,2754800
2020-02-11,161.000000,162.520004,160.020004,162.449997,160.992111,2275100
2020-02-12,164.240005,165.039993,163.570007,163.800003,162.330002,2736400
2020-02-13,161.759995,161.869995,159.000000,159.759995,159.759995,3413900
2020-02-14,159.850006,161.139999,158.820007,161.009995,161.009995,2233500
2020-02-18,160.360001,160.529999,158.039993,158.880005,158.880005,2478900
2020-02-19,159.080002,160.470001,158.360001,159.339996,159.339996,2296400
2020-02-20,159.000000,161.389999,158.500000,158.559998,158.559998,3275100
2020-02-21,158.330002,158.589996,156.119995,156.929993,156.929993,3535300
2020-02-24,154.449997,154.710007,152.220001,152.550003,152.550003,3635600
2020-02-25,153.309998,153.440002,145.970001,146.850006,146.850006,5263400
2020-02-26,149.570007,151.820007,148.089996,148.960007,148.960007,5152100
2020-02-27,151.229996,155.429993,149.000000,150.160004,150.160004,8241600
2020-02-28,154.089996,156.720001,146.000000,149.240005,149.240005,11508700
2020-03-02,151.339996,153.429993,148.369995,153.020004,153.020004,8026300
2020-03-03,152.440002,154.000000,144.440002,145.240005,145.240005,8296500
2020-03-04,147.020004,154.000000,145.990005,153.979996,153.979996,5773800
2020-03-05,150.800003,154.350006,149.550003,151.410004,151.410004,5887000
2020-03-06,149.589996,154.740005,147.869995,153.649994,153.649994,7155100
2020-03-09,146.589996,149.460007,143.550003,144.059998,144.059998,8194400
2020-03-10,149.020004,153.380005,144.880005,153.300003,153.300003,5651700
2020-03-11,149.729996,149.729996,146.470001,147.240005,147.240005,4748200
2020-03-12,139.960007,141.710007,130.339996,133.580002,133.580002,8215800
2020-03-13,141.009995,141.690002,131.000000,141.679993,141.679993,6580300
2020-03-16,129.860001,135.500000,128.009995,130.910004,130.910004,7440800
2020-03-17,131.940002,136.770004,129.610001,134.440002,134.440002,6535400
2020-03-18,128.460007,139.369995,128.389999,137.020004,137.020004,6860400
2020-03-19,137.710007,140.179993,132.929993,137.509995,137.509995,6365700
2020-03-20,138.070007,139.240005,122.709999,124.889999,124.889999,9589200
2020-03-23,128.160004,128.399994,114.040001,117.870003,117.870003,7934300
2020-03-24,122.290001,133.449997,121.000000,132.720001,132.720001,9311700
2020-03-25,133.149994,134.690002,126.800003,131.539993,131.539993,7742500
2020-03-26,131.789993,136.380005,130.610001,136.179993,136.179993,6717000
2020-03-27,132.830002,137.070007,130.910004,133.240005,133.240005,4262300
2020-03-30,132.250000,138.009995,131.059998,137.740005,137.740005,3869500
2020-03-31,135.690002,139.440002,135.679993,136.509995,136.509995,3613700
2020-04-01,132.000000,135.839996,131.009995,133.139999,133.139999,3777600
2020-04-02,132.360001,138.210007,132.100006,137.910004,137.910004,3990300
2020-04-03,136.009995,137.440002,132.899994,133.789993,133.789993,3588300
2020-04-06,137.860001,141.250000,136.899994,140.699997,140.699997,5639700
2020-04-07,147.500000,150.639999,144.399994,144.600006,144.600006,5496300
2020-04-08,145.729996,149.720001,143.910004,148.990005,148.990005,3071100
2020-04-09,148.460007,149.729996,146.539993,147.779999,147.779999,4784200
2020-04-13,147.500000,148.580002,145.300003,146.399994,146.399994,2642300
2020-04-14,149.619995,150.979996,148.050003,150.139999,150.139999,3318400
2020-04-15,148.190002,148.550003,144.899994,145.160004,145.160004,3043900
2020-04-16,145.270004,146.449997,143.229996,144.899994,144.899994,4170400
2020-04-17,147.440002,148.500000,144.800003,146.460007,146.460007,5393100
2020-04-20,144.750000,147.020004,143.649994,143.669998,143.669998,2893000
2020-04-21,142.250000,142.770004,140.500000,141.630005,141.630005,2331100
2020-04-22,143.360001,144.479996,141.710007,143.610001,143.610001,2750400
2020-04-23,144.580002,147.580002,143.880005,144.330002,144.330002,2585300
2020-04-24,145.169998,147.339996,144.309998,147.000000,147.000000,2247700
2020-04-27,148.000000,154.490005,147.889999,153.649994,153.649994,4644900
2020-04-28,160.029999,163.080002,155.199997,157.610001,157.610001,8294100
2020-04-29,158.539993,160.220001,155.169998,156.259995,156.259995,3987100
2020-04-30,154.309998,154.940002,151.750000,151.919998,151.919998,3667800
